date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:04	2981/2981	---M--	200	added ('OK')	image/png	etag:%22ba5-637d63fbe29e6%22	https://vascons.ro/wp-content/uploads/2025/06/cropped-ChatGPT-Image-Jun-16-2025-06_00_45-PM-135x56.png	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-content/uploads/2025/06/cropped-ChatGPT-Image-Jun-16-2025-06_00_45-PM-135x56.png	(from https://vascons.ro/)
18:12:04	371700/371700	---MC-	200	added ('OK')	application/json	date:Tue,%2022%20Jul%202025%2015:12:04%20GMT	https://vascons.ro/wp-json/	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-json/index.html	(from https://vascons.ro/)
18:12:09	418196/418196	---M--	200	added ('OK')	image/png	etag:%2266194-637c9762f30d1%22	https://constantinionalex.duckdns.org/wp-content/uploads/2025/06/Picture2.png	C:/Users/C76/Desktop/vascons1/constantinionalex.duckdns.org/wp-content/uploads/2025/06/Picture2.png	(from https://vascons.ro/)
18:12:09	9978/9978	---M--	200	added ('OK')	image/jpeg	etag:%2226fa-637c8bb3cd9ef%22	https://constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/branding.jpg	C:/Users/C76/Desktop/vascons1/constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/branding.jpg	(from https://vascons.ro/)
18:12:09	7735/7735	---M--	200	added ('OK')	image/jpeg	etag:%221e37-637c8bb3cd9ef%22	https://constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/graphic.jpg	C:/Users/C76/Desktop/vascons1/constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/graphic.jpg	(from https://vascons.ro/)
18:12:09	6716/6716	---M--	200	added ('OK')	image/jpeg	etag:%221a3c-637c8bb3cd9ef%22	https://constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/web.jpg	C:/Users/C76/Desktop/vascons1/constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/web.jpg	(from https://vascons.ro/)
18:12:09	44349/44349	---M--	200	added ('OK')	image/jpeg	etag:%22ad3d-637c8bb3cd9ef%22	https://constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/about-us.jpg	C:/Users/C76/Desktop/vascons1/constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/about-us.jpg	(from https://vascons.ro/)
18:12:09	2722/2722	---M--	200	added ('OK')	image/png	etag:%22aa2-637c8bb3cd9ef%22	https://constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/avatar.png	C:/Users/C76/Desktop/vascons1/constantinionalex.duckdns.org/wp-content/themes/astra/inc/assets/images/starter-content/avatar.png	(from https://vascons.ro/)
18:12:10	25176/25176	---M-Z	200	added ('OK')	text/javascript	etag:%226258-637c8bb3c6c8e-gzip%22	https://vascons.ro/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.11.3	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-content/themes/astra/assets/js/minified/frontend.min80dd.js	(from https://vascons.ro/)
18:12:10	457/457	---M-Z	200	added ('OK')	text/javascript	etag:%221c9-6103d74a0ab00-gzip%22	https://vascons.ro/wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-includes/js/dist/dom-ready.min5346.js	(from https://vascons.ro/)
18:12:10	6581/6581	---M-Z	200	added ('OK')	text/javascript	etag:%2219b5-637d336b3e095-gzip%22	https://vascons.ro/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/main.js?ver=06758d4d807d9d22c6ea	C:/Users/C76/Desktop/vascons1/vascons.ro/wp-content/plugins/astra-sites/inc/lib/onboarding/assets/dist/template-preview/maina11c.js	(from https://vascons.ro/)
